model_id,mean_per_class_error,logloss,rmse,mse
XRT_1_AutoML_4_20260728_151049,0.0114942528735632,0.1365191915282404,0.1695085408215417,0.0287331454114482
GBM_grid_1_AutoML_4_20260728_151049_model_1,0.0114942528735632,0.0591322510258512,0.123505596425567,0.015253632348435
GBM_3_AutoML_4_20260728_151049,0.0114942528735632,0.0360966279817555,0.1054799362390993,0.0111260169490044
GBM_2_AutoML_4_20260728_151049,0.0114942528735632,0.038674133622757,0.1102618320257038,0.0121576716016645
DeepLearning_grid_1_AutoML_4_20260728_151049_model_2,0.0114942528735632,0.1082401413009286,0.1485561866709319,0.0220689405982087
GBM_4_AutoML_4_20260728_151049,0.0114942528735632,0.040698612754313,0.1093228289145214,0.0119514809218737
GBM_grid_1_AutoML_4_20260728_151049_model_2,0.0172413793103448,0.0501842482312549,0.1267484671042345,0.0160651739132732
GBM_grid_1_AutoML_4_20260728_151049_model_3,0.0172413793103448,0.0423617892616789,0.1177516442056396,0.0138654497131315
StackedEnsemble_BestOfFamily_1_AutoML_4_20260728_151049,0.0182969739619985,0.0677083623536602,0.1327476284235567,0.0176219328520786
GBM_5_AutoML_4_20260728_151049,0.0200412614205717,0.0759058300310781,0.146097406840769,0.0213444522855971
StackedEnsemble_AllModels_1_AutoML_4_20260728_151049,0.0200412614205717,0.0593535840277816,0.1260690456092545,0.0158934042608283
DRF_1_AutoML_4_20260728_151049,0.0229885057471264,0.1373821835889563,0.1798258880640873,0.0323373500180376
DeepLearning_grid_1_AutoML_4_20260728_151049_model_1,0.0257883878573533,0.0628273618019308,0.1383660632419472,0.0191451674570745
GLM_1_AutoML_4_20260728_151049,0.0257883878573533,0.0615035387380968,0.1274707154952105,0.0162487833088609
DeepLearning_grid_2_AutoML_4_20260728_151049_model_1,0.0268439825090071,0.095447103823982,0.1417226717534755,0.0200853156889433
DeepLearning_grid_3_AutoML_4_20260728_151049_model_1,0.0468852439295789,0.1409511623673953,0.1886754779287746,0.0355984359716515
DeepLearning_1_AutoML_4_20260728_151049,0.061179378913369,0.2249339429130306,0.2558681694349683,0.0654685201300016
