timestamp,temperature_C,humidity_%,wind_speed_kmph,pressure_hPa,visibility_km
01/03/2023 0:00,16.6,74.4,5.7,1012.5,9.5
01/03/2023 1:00,16.2,78.5,5,1012.1,10.3
01/03/2023 2:00,15.3,73.3,4.7,,11.1
01/03/2023 3:00,15.8,72.4,1.3,1005,8.9
01/03/2023 4:00,20.9,70.6,6.8,1016.3,9.8
01/03/2023 5:00,20.8,63.7,,1017.9,10.8
01/03/2023 6:00,22.8,67,11.3,1002.3,9
01/03/2023 7:00,22.5,63.7,12.3,1018.6,10.9
01/03/2023 8:00,21.2,65.3,13.8,1017.3,10.7
01/03/2023 9:00,28.2,64.5,10.8,1009.6,11
01/03/2023 10:00,,66.3,13.5,1013.7,11.5
01/03/2023 11:00,25.6,54.2,17.6,1012.5,10.2
01/03/2023 12:00,25.4,62.2,16,1012,9.3
01/03/2023 13:00,23.4,61.7,16.5,1022.9,10.6
01/03/2023 14:00,27.6,60.5,12.8,1007.8,10.7
01/03/2023 15:00,23.8,50.7,13.8,1009.8,9.9
01/03/2023 16:00,22,,14.1,1014.8,9.1
01/03/2023 17:00,23.7,62.5,,1018.2,10.8
01/03/2023 18:00,23.1,72.4,8.1,1011.4,10.9
01/03/2023 19:00,22.1,62.9,8,1012.6,
01/03/2023 20:00,18.2,60,7.3,1005.7,11.5
01/03/2023 21:00,19.4,,6.2,1009.4,10.5
01/03/2023 22:00,19.7,75.1,4.3,1012.5,9.6
01/03/2023 23:00,14.7,76.3,4.6,1011.6,9.5
02/03/2023 0:00,15.9,83.2,4.4,1007.1,11.4
02/03/2023 1:00,15.7,70.7,7.7,1011.1,10.5
02/03/2023 2:00,17.6,76.5,5.3,1022.4,9.9
02/03/2023 3:00,20,65.9,3.2,1017.8,11.8
02/03/2023 4:00,22,75.9,6.2,999.8,10.7
02/03/2023 5:00,21.2,,9.7,1010.7,9.8
02/03/2023 6:00,22.7,78.2,11.3,1011.4,9.9
02/03/2023 7:00,21.5,73.8,11,1012.2,9.6
02/03/2023 8:00,23.6,58.5,12.8,1014,
02/03/2023 9:00,28.7,63.4,13.4,1017.1,10.1
02/03/2023 10:00,20.5,52.2,16.3,1006.4,10.7
02/03/2023 11:00,25.1,58.4,14.1,1023.4,9.3
02/03/2023 12:00,22.1,51.8,14.4,1012.3,
02/03/2023 13:00,24.5,51.9,12.5,1011.6,10.3
02/03/2023 14:00,22.6,59.6,12.7,1013.3,8.1
02/03/2023 15:00,21.9,64.3,14,1009.3,10.8
02/03/2023 16:00,23.9,68.7,12.8,1001.6,
02/03/2023 17:00,,67.6,,1009.5,10
02/03/2023 18:00,24.2,,7.6,1015.9,9.4
02/03/2023 19:00,22,64.9,9.7,1009.3,10.4
02/03/2023 20:00,19.9,67.1,8,1013.5,8
02/03/2023 21:00,18.8,66.1,6.9,1024.1,11.2
02/03/2023 22:00,16.5,76.1,5.9,1003.4,10.2
02/03/2023 23:00,18,78.1,4.3,1005.5,8.6
03/03/2023 0:00,13.6,78.7,6.7,1016.1,10.8
03/03/2023 1:00,15.7,75.3,5.5,1008.1,10.1
03/03/2023 2:00,18.5,76.1,6.7,1015.5,10
